date,unrate,unrate_men,unrate_women,unrate_16_to_17,unrate_18_to_19,unrate_20_to_24,unrate_25_to_34,unrate_35_to_44,unrate_45_to_54,unrate_55_over,year,month,unrate_change,shock
1948-01-01,4.0,4.2,3.5,10.8,9.6,6.6,3.6,2.6,2.7,3.6,1948,1,,0
1948-02-01,4.7,4.7,4.8,15.0,9.5,8.0,4.0,3.2,3.4,4.0,1948,2,0.7000000000000002,0
1948-03-01,4.5,4.5,4.4,13.2,9.3,8.6,3.5,3.2,2.9,3.5,1948,3,-0.20000000000000018,0
1948-04-01,4.0,4.0,4.1,9.9,8.1,6.8,3.5,3.1,2.9,3.2,1948,4,-0.5,0
1948-05-01,3.4,3.3,3.4,6.4,7.2,6.3,2.8,2.5,2.3,2.9,1948,5,-0.6000000000000001,0
1948-06-01,3.9,3.4,5.0,17.7,9.8,6.3,2.7,2.2,2.3,2.6,1948,6,0.5,0
1948-07-01,3.9,3.5,4.8,12.2,10.1,6.4,3.0,2.5,2.4,2.7,1948,7,0.0,0
1948-08-01,3.6,3.3,4.5,7.1,8.9,5.2,3.5,2.6,2.6,2.8,1948,8,-0.2999999999999998,0
1948-09-01,3.4,3.1,4.0,7.6,7.6,4.9,3.1,2.4,2.8,2.6,1948,9,-0.20000000000000018,0
1948-10-01,2.9,2.6,3.4,5.7,6.3,4.6,2.6,2.1,2.1,2.6,1948,10,-0.5,0
1948-11-01,3.3,3.1,3.8,6.7,8.4,4.6,3.3,2.2,2.3,3.2,1948,11,0.3999999999999999,0
1948-12-01,3.6,3.6,3.7,6.5,8.0,5.6,2.9,2.5,3.2,3.7,1948,12,0.30000000000000027,0
1949-01-01,5.0,5.2,4.6,10.9,12.1,7.6,4.6,3.7,3.9,4.4,1949,1,1.4,1
1949-02-01,5.8,6.0,5.2,14.1,10.9,9.6,4.9,4.4,4.4,5.4,1949,2,0.7999999999999998,0
1949-03-01,5.6,6.0,4.7,13.2,11.7,8.9,5.0,4.3,4.0,5.2,1949,3,-0.20000000000000018,0
1949-04-01,5.4,5.5,5.3,12.0,12.0,8.1,5.0,4.1,4.2,4.8,1949,4,-0.1999999999999993,0
1949-05-01,5.7,5.8,5.7,13.7,12.7,9.1,5.2,4.2,4.1,5.1,1949,5,0.2999999999999998,0
1949-06-01,6.4,6.2,6.9,21.0,17.6,10.1,5.6,3.8,3.8,4.9,1949,6,0.7000000000000002,0
1949-07-01,7.0,6.8,7.5,16.6,15.5,11.2,6.3,5.0,4.5,5.8,1949,7,0.5999999999999996,0
1949-08-01,6.3,6.1,6.9,12.6,12.7,10.4,5.7,4.7,4.5,5.3,1949,8,-0.7000000000000002,0
1949-09-01,5.9,5.5,6.7,11.8,13.8,9.2,5.2,4.6,4.0,5.2,1949,9,-0.39999999999999947,0
1949-10-01,6.1,6.2,5.9,12.7,11.1,9.9,6.3,4.8,4.5,4.7,1949,10,0.1999999999999993,0
1949-11-01,5.7,5.5,6.2,11.4,12.4,8.5,5.4,4.6,4.3,4.9,1949,11,-0.39999999999999947,0
1949-12-01,6.0,6.1,5.9,14.5,13.2,8.4,5.6,4.6,4.8,5.2,1949,12,0.2999999999999998,0
1950-01-01,7.6,7.8,7.3,19.9,16.3,11.6,7.2,5.0,6.4,6.6,1950,1,1.5999999999999996,1
1950-02-01,7.9,8.1,7.4,17.5,17.2,12.2,7.1,5.5,6.5,7.0,1950,2,0.3000000000000007,0
1950-03-01,7.1,7.2,6.7,15.2,14.1,10.2,6.8,5.5,5.5,6.4,1950,3,-0.8000000000000007,0
1950-04-01,6.0,6.2,5.3,12.2,10.2,8.4,5.5,4.7,5.0,5.9,1950,4,-1.0999999999999996,0
1950-05-01,5.3,5.2,5.5,15.6,11.4,7.6,5.0,3.9,3.9,4.5,1950,5,-0.7000000000000002,0
1950-06-01,5.6,5.1,6.7,19.7,15.5,8.1,4.6,3.2,3.8,5.0,1950,6,0.2999999999999998,0
1950-07-01,5.3,4.9,6.2,14.7,11.1,7.5,4.9,3.7,3.9,4.1,1950,7,-0.2999999999999998,0
1950-08-01,4.1,3.8,4.8,9.1,8.6,6.0,3.8,3.0,3.3,3.3,1950,8,-1.2000000000000002,0
1950-09-01,4.0,3.5,5.0,10.6,8.8,6.6,3.3,2.9,3.0,3.2,1950,9,-0.09999999999999964,0
1950-10-01,3.3,2.9,4.2,8.4,7.1,4.2,2.7,2.5,2.8,3.3,1950,10,-0.7000000000000002,0
1950-11-01,3.8,3.1,5.2,9.2,7.5,4.9,3.7,2.8,3.0,3.6,1950,11,0.5,0
1950-12-01,3.9,3.6,4.5,12.8,7.6,4.6,3.5,3.0,3.0,4.0,1950,12,0.10000000000000009,0
1951-01-01,4.4,4.1,5.0,11.0,8.8,5.0,3.8,3.7,3.4,4.8,1951,1,0.5000000000000004,0
1951-02-01,4.2,3.9,4.8,10.0,8.8,4.9,3.9,3.1,3.1,4.9,1951,2,-0.20000000000000018,0
1951-03-01,3.8,3.2,5.0,10.0,7.2,4.9,3.7,2.8,2.8,3.8,1951,3,-0.40000000000000036,0
1951-04-01,3.2,2.7,4.3,8.2,6.6,4.1,2.7,2.4,2.8,3.4,1951,4,-0.5999999999999996,0
1951-05-01,2.9,2.3,4.0,7.6,5.7,3.5,2.5,2.2,2.6,2.8,1951,5,-0.30000000000000027,0
1951-06-01,3.4,2.8,4.8,13.9,10.8,4.3,2.5,2.1,2.7,2.8,1951,6,0.5,0
1951-07-01,3.3,2.8,4.3,11.8,7.9,4.3,2.6,2.3,2.5,2.6,1951,7,-0.10000000000000009,0
1951-08-01,2.9,2.4,3.9,8.5,5.2,3.3,2.7,2.3,2.7,2.0,1951,8,-0.3999999999999999,0
1951-09-01,3.0,2.4,4.5,7.5,7.2,3.8,2.9,2.3,2.8,2.3,1951,9,0.10000000000000009,0
1951-10-01,2.8,2.3,3.9,6.1,5.4,3.8,2.5,2.2,2.2,3.0,1951,10,-0.20000000000000018,0
1951-11-01,3.2,2.6,4.5,10.7,6.3,4.1,2.9,2.6,2.4,2.9,1951,11,0.40000000000000036,0
1951-12-01,2.9,2.5,3.7,8.6,5.5,3.4,2.8,2.2,2.5,2.6,1951,12,-0.30000000000000027,0
1952-01-01,3.7,3.5,4.2,11.9,9.7,4.8,3.4,2.8,3.0,3.2,1952,1,0.8000000000000003,0
1952-02-01,3.8,3.7,4.2,12.0,7.9,5.4,3.5,3.2,2.9,3.4,1952,2,0.09999999999999964,0
1952-03-01,3.3,3.2,3.5,9.5,7.4,4.9,2.6,2.5,2.8,3.2,1952,3,-0.5,0
1952-04-01,3.0,2.8,3.5,7.9,6.2,4.6,2.7,2.4,2.3,2.9,1952,4,-0.2999999999999998,0
1952-05-01,2.9,2.5,3.8,11.5,6.6,4.1,2.4,2.0,2.2,2.6,1952,5,-0.10000000000000009,0
1952-06-01,3.2,2.9,4.0,14.0,10.5,4.6,2.2,2.0,2.5,2.3,1952,6,0.30000000000000027,0
1952-07-01,3.3,3.0,4.0,10.9,8.3,4.8,2.7,2.5,2.2,2.6,1952,7,0.09999999999999964,0
1952-08-01,3.1,2.7,3.8,7.6,6.3,4.7,2.7,2.5,2.3,2.5,1952,8,-0.19999999999999973,0
1952-09-01,2.7,2.5,3.3,8.0,7.5,5.0,2.6,1.7,1.9,2.2,1952,9,-0.3999999999999999,0
1952-10-01,2.4,1.9,3.3,7.6,5.4,4.1,2.1,1.9,1.7,1.9,1952,10,-0.30000000000000027,0
1952-11-01,2.5,2.1,3.4,9.0,5.5,3.7,2.4,2.0,1.9,1.9,1952,11,0.10000000000000009,0
1952-12-01,2.5,2.4,2.7,9.3,5.3,4.4,2.1,1.7,1.8,2.2,1952,12,0.0,0
